lsoa,names,lone_parent_household,young_pepople_percent,ethnic_black,tenure_mortgage_loan,tenure_social,no_qualifications,level_4_qualifications_above,no_cars,cars_per_household,median_annual_household_income,ptal_average,cluster_id
E01000187,Barnet 014B,11.8,0.16,6.6,33.1,22.1,19.1,33.8,22.8,1.3,32777.00 ,2.3,2
E01000188,Barnet 014C,6.8,0.18,2.3,45.2,1.4,15.1,41.2,6,1.9,50135.00 ,1.8,2
E01000189,Barnet 014D,30.8,0.25,24.5,7.6,67.8,23.5,25.3,51.1,0.6,20749.00 ,1,2
E01000190,Barnet 014E,11,0.16,5.8,38.3,8.1,16.1,40.2,16.3,1.5,43173.00 ,1.9,2
E01000191,Barnet 014F,5.8,0.16,3.7,37.5,1.1,15.1,43.5,12.8,1.5,46620.00 ,3.3,0
E01000158,Barnet 015A,16.1,0.19,9.6,36.2,16.1,16.2,39,29.4,1,31183.00 ,2.8,0
E01000159,Barnet 015B,15.3,0.19,6.4,37.8,13,15.7,38.3,20.6,1.3,32814.00 ,2.4,2
E01000160,Barnet 015C,12.5,0.21,8.1,40,3.5,10.2,50.7,23.4,1,41349.00 ,2.9,0
E01000161,Barnet 015D,10.8,0.25,10,32,10.4,14.5,39.7,30.8,0.9,31188.00 ,3.4,0
E01000162,Barnet 015E,12.1,0.19,7.6,37.3,9.2,20.8,31.7,20.7,1.1,30590.00 ,3.6,0
E01000324,Barnet 015F,11.9,0.18,5.7,38.8,9,16.4,38.2,22.1,1.2,34983.00 ,2.9,0
E01000256,Barnet 016A,9,0.18,8.9,44.1,4.7,11.7,46.1,13,1.5,42870.00 ,1.8,2
E01000258,Barnet 016B,9.5,0.16,5,35.2,3,12.9,46.6,18.1,1.3,42438.00 ,3.5,0
E01000263,Barnet 016C,5,0.14,2.3,49.1,1,7.3,51.5,4.4,1.9,61361.00 ,2,2
E01000264,Barnet 016D,11,0.2,9.3,28.9,6.9,12.8,42.1,27.6,1.2,31899.00 ,3.8,0
E01000255,Barnet 017A,14.6,0.2,10.1,32.1,23.9,19.3,34.7,20.1,1.3,31377.00 ,1.5,2
E01000257,Barnet 017B,23.6,0.21,12.6,14.5,41.4,19.9,31.4,38.5,0.8,24626.00 ,3,0
E01000261,Barnet 017C,4.5,0.14,4,31.9,12.2,17.3,44.5,21.5,1.3,46915.00 ,2,2
E01000262,Barnet 017D,13.4,0.18,11.4,33,20.6,14.3,39.4,15.2,1.3,32924.00 ,1.8,2
E01000192,Barnet 018A,8.5,0.21,6.1,25.9,2.9,15,38.4,30.7,1.1,34044.00 ,5.6,1
E01000193,Barnet 018B,8.9,0.22,7.1,33,4.2,15.4,39.1,24.9,1.3,36320.00 ,5.2,1
E01000194,Barnet 018C,13.1,0.22,10.4,26.9,3.3,13.4,34.5,31.1,1,28913.00 ,4.3,0
E01000226,Barnet 018D,19.8,0.21,16.2,29,41.7,28.6,23.7,37,0.9,22171.00 ,3,0
E01000227,Barnet 018E,13.3,0.18,7.4,42.6,2.5,19,35.7,16.1,1.4,37738.00 ,2.7,0
E01000299,Barnet 019A,9.1,0.22,5.1,24.9,5.6,13.7,43.6,40.8,0.7,30304.00 ,3.8,0
E01000300,Barnet 019B,7.2,0.18,4.5,36.7,10.9,13.2,49,29.4,1,36537.00 ,3.3,0
E01000302,Barnet 019C,8.2,0.21,5,18.6,16.9,13.7,47,44.4,0.7,30885.00 ,4.1,0
E01000317,Barnet 019D,8.8,0.2,4.1,32.7,7.6,15.7,47.5,31.2,0.9,35822.00 ,3.9,0
E01000318,Barnet 019E,10.7,0.19,4.5,37.9,6.1,16.8,37.7,20.2,1.2,34820.00 ,3.1,0
E01000323,Barnet 019F,8.2,0.2,8,23.2,4.4,16.2,41.5,43.2,0.7,29726.00 ,3.6,0
E01000276,Barnet 020A,4.3,0.13,1.4,39.1,0,9.9,50.4,8.1,1.6,55677.00 ,2,2
E01000278,Barnet 020B,6.4,0.12,1.8,34.1,1.2,9.9,52.6,8.4,1.5,54702.00 ,2.2,2
E01000301,Barnet 020C,7.4,0.14,2.3,33.3,0.8,11.5,52.2,15.7,1.3,49882.00 ,3.5,0
E01000303,Barnet 020D,9.3,0.14,2.4,33.5,3.3,10.8,54.1,15.9,1.2,47683.00 ,3,0
E01000304,Barnet 020E,10.1,0.23,5,32.7,6,9.8,53.9,31.7,1,35723.00 ,3.1,0
E01000130,Barnet 021A,22.6,0.21,20.5,28.1,35.4,21.2,25.9,33.7,0.9,24922.00 ,2.9,0
E01000132,Barnet 021B,27.5,0.22,15,26.5,42,23.7,20.2,36.2,0.9,23810.00 ,3.6,0
E01000133,Barnet 021C,21.8,0.18,16.4,24.8,47.8,27.6,20.9,39.8,0.9,22917.00 ,3.6,0
E01000234,Barnet 021D,10,0.16,8.6,36.8,3.1,13.6,47.4,18.9,1.2,38953.00 ,3.5,0
E01000235,Barnet 021E,20.4,0.22,14.9,28.4,31.3,19.8,32.6,34.2,1,27015.00 ,3.9,0
