lsoa,names,ethnic_asian,ethnic_black,tenure_mortgage_loan,tenure_private,no_qualifications,bad_health,cars_per_household,median_annual_household_income,ptal_average,cluster_id
E01003929,Southwark 002B,9.1,13.1,15,38.6,10.5,2.9,0.3,43475.00 ,8,1
E01003934,Southwark 002C,11.8,14.3,16.5,23.8,13.8,6.1,0.4,42427.00 ,7.8,1
E01003935,Southwark 002D,26.5,10.7,13.5,22.2,10,5,0.4,39338.00 ,8,1
E01003939,Southwark 002E,20.3,17,15.2,38.8,8.7,2.3,0.4,38972.00 ,8,1
E01003976,Southwark 003A,9.5,20.8,16.7,29,15.5,4.3,0.4,31724.00 ,4.6,0
E01004027,Southwark 003E,9.4,18.9,14.1,33.2,11.6,4.4,0.3,33604.00 ,6.7,1
E01032637,Southwark 003F,15.2,2.6,27.9,57.3,1.2,0.5,0.6,66075.00 ,4.2,0
E01032638,Southwark 003G,9.1,0.9,31.1,47.8,2.7,1,0.6,71072.00 ,3,0
E01032640,Southwark 003H,11.2,3.4,26.8,53.4,1.1,1.1,0.6,68055.00 ,4.8,0
E01032646,Southwark 003I,10.3,11.2,20.9,46.3,7.4,2.4,0.4,51382.00 ,7.1,1
E01032803,Southwark 003J,13,8.3,23.3,50.5,3.2,2,0.3,53940.00 ,7.9,1
E01032834,Southwark 003K,9.6,3.4,24,52.3,1,1.5,0.7,71087.00 ,3.4,0
E01003975,Southwark 004A,6.4,29.4,10.3,12.3,21.2,5.6,0.4,24865.00 ,3.7,0
E01003978,Southwark 004B,11.8,17,22.2,31.4,12.2,3.4,0.4,33791.00 ,3.3,0
E01004022,Southwark 004C,10.6,15,14.6,15,20.1,5.6,0.4,30339.00 ,4.3,0
E01004023,Southwark 004D,8.8,15.9,15.4,16.1,28,8.1,0.4,27534.00 ,4.4,0
E01004028,Southwark 004E,8.2,24.3,13,16.4,19.2,5.6,0.4,27936.00 ,3.6,0
E01003938,Southwark 006A,13.6,29.1,12,20.3,13.1,5,0.4,28985.00 ,8,1
E01003940,Southwark 006B,12.5,37,11.6,16.9,16.9,5.7,0.4,25181.00 ,6.4,1
E01003941,Southwark 006C,12.5,17,24,33.6,10.7,3.8,0.4,40423.00 ,5.4,1
E01003942,Southwark 006D,16.9,27.6,12.8,16.6,15.5,5.4,0.3,25671.00 ,6.2,1
E01003979,Southwark 006E,11.8,20.5,17.3,29.7,18.6,4.8,0.3,33404.00 ,5.1,1
E01003981,Southwark 006F,17.3,18.3,10.1,29.4,12.8,4.9,0.3,30279.00 ,8,1
E01004030,Southwark 007A,9,13.1,16.4,20.9,17.2,5.9,0.4,32029.00 ,4.8,1
E01004031,Southwark 007B,17.2,15.7,21.4,24.4,17.4,5.4,0.4,31160.00 ,6.7,1
E01004033,Southwark 007C,11.3,24.7,11.2,17.5,23.3,7,0.4,26611.00 ,6.2,1
E01004034,Southwark 007D,7.3,21.4,13.7,18.6,23.1,4.7,0.5,25821.00 ,4.5,0
E01004036,Southwark 007E,11.9,29.4,7.9,23.7,23.5,4.6,0.3,23980.00 ,5.5,1
E01004056,Southwark 008A,11.7,9.7,21.9,34.7,14.2,5.3,0.6,40997.00 ,2,2
E01004057,Southwark 008B,12.5,12.2,24,25.4,13.9,4.9,0.7,40999.00 ,2.4,2
E01004058,Southwark 008C,17.3,3.1,31.9,44.9,3,0.7,0.6,59188.00 ,1.6,2
E01004059,Southwark 008D,27,3.2,27.2,53.3,3.3,0.9,0.5,53475.00 ,4.3,0
E01004060,Southwark 008E,12.2,20.9,15.9,30.2,19.2,5.8,0.5,29919.00 ,4.8,1
E01003936,Southwark 009A,19.8,5.2,17.8,44.9,2.3,1.3,0.5,59466.00 ,7.4,1
E01003937,Southwark 009B,19.8,15.1,18,41.8,6.6,2.3,0.3,38085.00 ,8,1
E01003943,Southwark 009C,20.8,33.9,10.4,19.3,20.5,5.8,0.3,24686.00 ,8,1
E01032720,Southwark 009F,18.9,30.1,9.4,29.8,13.2,4.1,0.3,25697.00 ,7.8,1
E01003977,Southwark 010A,5,19.7,15.5,16.8,27.8,7.1,0.4,24781.00 ,2.9,0
E01004037,Southwark 010B,7.4,25.1,20.6,27.6,17.6,4.6,0.4,26554.00 ,3.7,0
E01004038,Southwark 010C,11.2,25.5,14.8,30.8,15.1,2.8,0.5,29010.00 ,3.3,0
E01004042,Southwark 010D,5.4,17.5,8.7,16.8,33.4,8.2,0.4,23047.00 ,3.2,0
E01004043,Southwark 010E,4.2,10.5,21.7,17.9,28.3,6.4,0.6,30204.00 ,3,0
E01003986,Southwark 011A,8.9,28.1,5.8,9.1,36.1,7.6,0.4,22046.00 ,4.2,0
E01003987,Southwark 011B,7.7,27,8.9,13.5,30.8,7.1,0.5,23904.00 ,2.2,2
E01004024,Southwark 011C,6.5,22,10.3,17.5,25.5,6.7,0.3,22662.00 ,4,0
E01004035,Southwark 011D,7.3,25.9,9,13.1,29.4,7.6,0.4,24051.00 ,3.9,0
E01003960,Southwark 012A,10.8,19.5,16.8,33.4,16.2,4.6,0.4,28599.00 ,6.6,1
E01003961,Southwark 012B,7.4,36.6,9.1,16.4,27.7,9.1,0.3,22990.00 ,5.1,1
E01003994,Southwark 012E,9.5,25.3,14.8,24.1,21.8,6.4,0.4,25033.00 ,6.9,1
E01032722,Southwark 012F,9.6,24.8,9.3,39.6,19.7,6.2,0.3,26860.00 ,7.5,1
E01003980,Southwark 013A,10.2,21.2,7.9,25,21.2,6.6,0.3,26184.00 ,4.3,1
E01004039,Southwark 013B,15.8,19.5,27.2,34.6,15.4,3.5,0.5,28524.00 ,3.7,0
E01004040,Southwark 013C,6.1,46.9,5.1,8.5,21.8,6.1,0.4,21336.00 ,4.7,1
E01004041,Southwark 013D,8.5,28.3,8.2,20.3,21.4,5.7,0.4,24293.00 ,4.1,0
E01004044,Southwark 013E,10.5,29.9,14.6,12.2,25.2,6,0.5,25315.00 ,3.4,0
E01003992,Southwark 014A,6,39,10.2,14.4,22.9,4.6,0.4,24665.00 ,4.2,0
