ptal_poor_access,ptal_good_access
0.00 ,100.00 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,0.00 
0.00 ,96.10 
0.00 ,24.10 
0.00 ,100.00 
0.00 ,97.50 
0.00 ,10.40 
0.00 ,56.80 
0.00 ,99.10 
0.00 ,90.20 
0.00 ,100.00 
0.00 ,47.30 
0.00 ,1.60 
0.00 ,42.40 
0.00 ,2.50 
0.00 ,11.90 
0.00 ,8.60 
0.00 ,97.40 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,96.00 
0.00 ,94.50 
0.00 ,100.00 
0.00 ,70.20 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,40.20 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,95.00 
0.00 ,76.20 
41.30 ,0.00 
0.00 ,45.50 
0.00 ,76.40 
0.00 ,96.00 
0.00 ,8.50 
12.10 ,11.20 
15.40 ,0.00 
0.00 ,54.30 
25.40 ,15.30 
0.00 ,92.50 
0.00 ,42.40 
0.00 ,10.30 
0.00 ,63.60 
0.00 ,77.10 
0.00 ,28.00 
0.00 ,24.30 
0.00 ,100.00 
0.00 ,61.70 
0.60 ,37.70 
0.00 ,84.60 
0.00 ,100.00 
0.00 ,0.00 
0.00 ,0.00 
0.00 ,43.20 
0.00 ,0.00 
37.00 ,0.00 
10.90 ,22.30 
57.90 ,4.90 
9.60 ,0.00 
0.00 ,0.00 
52.10 ,16.80 
0.00 ,0.00 
3.60 ,58.50 
12.50 ,0.00 
22.40 ,0.00 
0.00 ,96.70 
0.00 ,0.00 
0.00 ,48.50 
0.00 ,84.30 
0.10 ,25.90 
0.00 ,100.00 
0.00 ,98.00 
0.00 ,64.80 
0.00 ,37.10 
0.00 ,94.60 
23.00 ,59.90 
34.80 ,40.40 
0.00 ,84.40 
7.50 ,27.60 
22.90 ,14.10 
56.40 ,0.00 
0.00 ,56.80 
0.00 ,69.60 
0.00 ,89.40 
0.00 ,65.70 
11.90 ,51.00 
0.00 ,100.00 
0.00 ,83.90 
0.00 ,100.00 
0.00 ,85.00 
16.40 ,13.50 
0.00 ,80.00 
3.90 ,27.80 
60.30 ,1.20 
99.50 ,0.00 
34.00 ,0.00 
11.20 ,0.10 
0.00 ,67.60 
0.00 ,0.60 
0.00 ,0.00 
0.00 ,72.20 
0.00 ,77.50 
0.00 ,81.70 
0.00 ,100.00 
31.50 ,28.20 
0.00 ,81.80 
0.00 ,75.20 
0.00 ,14.50 
21.70 ,0.00 
6.40 ,0.00 
0.00 ,0.00 
0.00 ,83.60 
0.00 ,45.30 
20.40 ,16.20 
0.00 ,93.10 
0.00 ,64.80 
0.00 ,0.00 
1.00 ,0.00 
0.00 ,0.00 
4.40 ,0.00 
0.00 ,0.00 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,100.00 
51.20 ,0.00 
0.00 ,24.80 
5.40 ,11.20 
99.40 ,0.00 
9.00 ,0.00 
62.90 ,20.40 
42.10 ,0.00 
1.60 ,0.00 
9.40 ,0.00 
0.00 ,53.30 
95.20 ,0.00 
0.00 ,100.00 
25.20 ,42.40 
38.90 ,11.20 
2.70 ,6.30 
0.00 ,100.00 
0.00 ,97.70 
0.00 ,98.50 
0.00 ,73.00 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,85.40 
0.00 ,100.00 
0.00 ,54.90 
0.00 ,23.70 
10.20 ,33.30 
0.00 ,100.00 
0.00 ,21.50 
0.00 ,82.70 
0.70 ,64.30 
0.00 ,70.60 
0.00 ,75.00 
0.00 ,89.70 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,29.10 
0.00 ,85.70 
0.00 ,31.30 
0.00 ,6.70 
0.00 ,32.50 
0.00 ,0.00 
1.10 ,65.00 
0.00 ,77.00 
0.00 ,85.80 
0.10 ,37.00 
0.00 ,35.20 
0.00 ,81.50 
0.00 ,46.60 
0.00 ,83.80 
0.00 ,48.90 
0.00 ,66.10 
0.00 ,98.40 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,23.90 
0.00 ,0.00 
0.00 ,0.00 
0.00 ,0.00 
0.00 ,82.50 
0.00 ,26.20 
15.50 ,2.10 
0.00 ,6.80 
3.80 ,0.00 
0.00 ,37.50 
0.00 ,43.40 
0.00 ,0.00 
0.90 ,0.00 
3.60 ,0.00 
0.00 ,0.00 
0.00 ,0.00 
0.90 ,0.50 
0.00 ,20.40 
0.00 ,0.00 
14.20 ,0.00 
0.00 ,0.00 
0.00 ,91.80 
11.00 ,5.10 
0.00 ,9.10 
0.00 ,65.20 
0.00 ,99.10 
0.60 ,42.30 
0.00 ,69.00 
6.10 ,4.70 
2.50 ,2.10 
0.00 ,56.30 
0.00 ,99.90 
0.00 ,88.60 
0.00 ,56.10 
0.00 ,100.00 
22.70 ,33.60 
0.00 ,93.10 
16.90 ,0.00 
0.00 ,17.80 
0.00 ,18.10 
7.30 ,0.00 
25.50 ,0.00 
0.00 ,0.00 
28.00 ,0.00 
0.00 ,0.00 
0.70 ,62.70 
1.90 ,0.00 
37.00 ,0.00 
65.50 ,0.00 
83.80 ,0.00 
18.40 ,0.00 
0.00 ,1.80 
0.00 ,0.00 
0.00 ,53.20 
1.70 ,0.00 
0.90 ,22.10 
86.70 ,0.00 
0.00 ,63.40 
11.80 ,19.80 
98.00 ,0.00 
0.00 ,12.40 
53.80 ,0.00 
62.10 ,0.00 
0.00 ,13.40 
0.00 ,65.30 
0.00 ,0.00 
7.10 ,0.00 
22.30 ,6.90 
0.00 ,72.00 
0.00 ,21.10 
1.90 ,0.00 
8.20 ,20.10 
6.20 ,0.00 
3.50 ,26.50 
47.20 ,0.00 
18.90 ,0.00 
37.40 ,0.00 
100.00 ,0.00 
12.30 ,1.70 
100.00 ,0.00 
0.00 ,32.20 
11.80 ,0.00 
6.00 ,14.00 
0.00 ,52.40 
0.00 ,0.00 
2.80 ,0.00 
0.00 ,55.10 
41.20 ,0.00 
0.30 ,15.70 
19.20 ,1.20 
0.00 ,94.50 
0.00 ,0.00 
11.20 ,0.00 
26.60 ,0.00 
3.20 ,0.00 
0.00 ,19.70 
0.00 ,79.60 
0.00 ,99.50 
0.80 ,0.00 
0.00 ,33.90 
0.00 ,90.10 
0.00 ,21.90 
0.00 ,0.00 
17.80 ,0.00 
6.60 ,0.00 
39.40 ,0.00 
1.00 ,0.00 
0.00 ,0.00 
0.00 ,0.00 
63.80 ,0.00 
61.10 ,0.00 
0.00 ,44.10 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,91.40 
2.70 ,26.80 
15.60 ,1.60 
0.40 ,0.30 
0.00 ,0.00 
3.50 ,6.50 
0.00 ,0.00 
60.80 ,0.00 
45.80 ,0.00 
0.70 ,7.10 
5.60 ,7.80 
0.00 ,6.80 
0.00 ,52.20 
0.00 ,4.50 
0.00 ,13.10 
0.00 ,49.70 
0.00 ,87.60 
85.60 ,0.00 
69.70 ,0.00 
71.50 ,0.00 
100.00 ,0.00 
48.60 ,0.00 
34.10 ,0.60 
5.80 ,12.20 
0.00 ,16.00 
42.50 ,0.00 
0.00 ,14.20 
0.00 ,0.00 
0.00 ,0.00 
0.00 ,85.80 
0.00 ,28.30 
0.00 ,9.90 
0.00 ,0.00 
0.00 ,0.00 
0.00 ,0.00 
0.00 ,0.00 
0.00 ,0.00 
0.00 ,46.20 
0.00 ,83.20 
16.20 ,8.90 
0.00 ,83.40 
0.00 ,94.80 
0.00 ,59.30 
0.00 ,37.70 
21.40 ,0.00 
38.60 ,0.00 
2.20 ,7.70 
17.10 ,17.50 
0.00 ,56.90 
0.00 ,100.00 
0.00 ,80.70 
0.00 ,100.00 
0.00 ,0.00 
0.00 ,36.80 
0.00 ,76.30 
0.00 ,82.50 
0.00 ,27.20 
0.00 ,1.50 
0.00 ,28.40 
0.00 ,58.20 
0.00 ,98.20 
55.80 ,6.60 
7.80 ,27.70 
0.00 ,62.60 
0.00 ,22.80 
0.00 ,100.00 
0.30 ,0.00 
0.00 ,0.40 
0.00 ,11.30 
13.50 ,1.40 
0.00 ,29.40 
0.00 ,100.00 
0.00 ,41.30 
0.00 ,6.00 
0.00 ,98.40 
0.00 ,97.40 
5.20 ,6.00 
0.00 ,48.70 
0.00 ,89.30 
0.00 ,8.30 
0.00 ,91.40 
0.00 ,56.20 
0.00 ,20.20 
0.00 ,79.10 
0.00 ,98.50 
0.00 ,52.80 
8.00 ,49.40 
0.00 ,34.30 
0.00 ,54.80 
0.00 ,68.40 
0.00 ,99.40 
0.00 ,57.60 
0.00 ,89.40 
0.00 ,21.40 
0.00 ,20.20 
0.00 ,66.20 
94.20 ,0.00 
28.60 ,0.00 
0.00 ,17.70 
0.00 ,16.80 
3.90 ,0.00 
0.00 ,75.10 
1.40 ,0.50 
14.90 ,0.00 
13.10 ,1.10 
0.00 ,10.10 
0.00 ,57.40 
0.00 ,17.30 
38.00 ,15.80 
36.20 ,0.00 
0.00 ,74.50 
0.00 ,96.90 
0.00 ,97.10 
0.00 ,87.40 
0.00 ,100.00 
0.50 ,31.90 
0.20 ,16.50 
0.00 ,68.20 
0.00 ,41.50 
15.20 ,1.50 
0.00 ,79.20 
0.00 ,2.40 
0.00 ,0.00 
91.10 ,0.00 
